taxid,name,fasta
984703,Rhysida immarginata,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/rhysida-immarginata/rhysida-immarginata.fasta
173049,Cryptops parisi,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/cryptops-parisi/cryptops-parisi.fasta
61981,Cylindroiulus punctatus,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/cylindroiulus-punctatus-1/cylindroiulus-punctatus-1.fasta
173285,Geophilus carpophagus,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/geophilus-carpophagus/geophilus-carpophagus.fasta
856749,Geophilus flavus,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/geophilus-flavus/geophilus-flavus.fasta
173284,Geophilus truncorum,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/geophilus-truncorum/geophilus-truncorum.fasta
60158,Lithobius variegatus,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/lithobius-variegatus-1/lithobius-variegatus-1.fasta
1146903,Scolopendra cretica,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/scolopendra-cretica/scolopendra-cretica.fasta
2116692,Glomeris maerens,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/glomeris-maerens/glomeris-maerens.fa
353554,Thereuonema tuberculata,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/thereuonema-tuberculata/thereuonema-tuberculata.fasta
2968893,Agaricogonopus acrotrifoliolatus,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/agaricogonopus-acrotrifoliolatus/agaricogonopus-acrotrifoliolatus.fasta
1325552,Helicorthomorpha holstii,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/helicorthomorpha-holstii/helicorthomorpha-holstii.fa
126936,Henia vesuviana,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/henia-vesuviana/henia-vesuviana.fasta
2696921,Julidae sp. JJ 2019,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/julidae-sp-jj-2019/julidae-sp-jj-2019.fasta
1008810,Julus scandinavius,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/julus-scandinavius/julus-scandinavius.fasta
1008849,Choneiulus palmatus,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/choneiulus-palmatus-1/choneiulus-palmatus-1.fasta
1176344,Brachycybe producta,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/brachycybe-producta-1/brachycybe-producta-1.fasta
2926727,Julus scanicus,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/julus-scanicus/julus-scanicus.fasta
1008825,Kryphioiulus occultus,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/kryphioiulus-occultus/kryphioiulus-occultus.fasta
2926728,Megaphyllum sjaelandicum,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/megaphyllum-sjaelandicum/megaphyllum-sjaelandicum.fasta
2794005,Nanogona polydesmoides,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/nanogona-polydesmoides-1/nanogona-polydesmoides-1.fasta
1008866,Ommatoiulus sabulosus,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/ommatoiulus-sabulosus/ommatoiulus-sabulosus.fasta
115410,Pachymerium ferrugineum,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/pachymerium-ferrugineum/pachymerium-ferrugineum.fasta
2710800,Platydesmidae sp. JHPL 2020,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/platydesmidae-sp-jhpl-2020/platydesmidae-sp-jhpl-2020.fa
510027,Polydesmus complanatus,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/polydesmus-complanatus/polydesmus-complanatus.fasta
2926741,Rossiulus vilnensis,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/rossiulus-vilnensis/rossiulus-vilnensis.fasta
1569481,Stenotaenia linearis,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/stenotaenia-linearis/stenotaenia-linearis.fasta
1255758,Strigamia acuminata,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/strigamia-acuminata-1/strigamia-acuminata-1.fasta
1428135,Strigamia crassipes,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/strigamia-crassipes/strigamia-crassipes.fasta
126957,Strigamia maritima,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/strigamia-maritima/strigamia-maritima.fasta
1579475,Strigamia transsilvanica,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/strigamia-transsilvanica/strigamia-transsilvanica.fasta
1366115,Trigoniulus corallinus,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/trigoniulus-corallinus/trigoniulus-corallinus.fasta
2926734,Xestoiulus laeticollis,/shared/projects/metainvert/exogap/cache/genes_annotation/publish_best_annotations/xestoiulus-laeticollis/xestoiulus-laeticollis.fasta
